YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MS	EQ_MAG_MB	INTENSITY	COUNTRY	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	MISSING	INJURIES	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DAMAGED
1991	4	18	9	18	30.4	33	5.1	5.1	5.4	7	AFGHANISTAN	AFGHANISTAN:  BADAKHSTAN PROVINCE	37.457	68.273	40						1000
1991	4	20	17	8	20.2	33	4.1		4.1		AFGHANISTAN	"AFGHANISTAN:  HINDU KUSH:  BADAKHSTAN, KABUL"	36.416	70.912	40						100
1991	4	22	21	56	51.8	10	7.6	7.4	6.3	10	COSTA RICA	"COSTA RICA:  LIMON, PANDORA"	9.685	-83.073	90	87			510		
1991	4	24	10	54	35.7	33	4.5		4.5		TURKEY	TURKEY:  ERZURUM PROVINCE	39.597	41.118	140	1		3			
1991	4	29	9	12	48.1	17	7	7	6.2	9	GEORGIA	"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI"	42.453	43.673	40	270			1700		
1991	5	4	3	42	54.5	10	6.2	6.2	5.6		PANAMA	"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO"	9.542	-82.418	100			36			
1991	5	15	14	28	50.1	14	4.9		4.9	5	GEORGIA	GEORGIA:  KHEKHETI	42.565	43.349	40					45	
1991	5	26	10	59	48.9	33	4.5	4.5	5.1		MALAYSIA	MALAYSIA:  KALIMANTAN:  RANAU	5.865	116.746	170	1					
1991	6	15	0	59	20.3	9	6.1	6.1	6.1	8	GEORGIA	"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA"	42.461	44.009	40	8		200			
1991	6	15	11	15	28	10	5.5	5.5	5.7		PHILIPPINES	"PHILIPPINES:  LUZON:  MANILA, PINATUBO ERUPTION"	15.119	120.355	170						
1991	6	16	11	7	10.6	26	4.5	4.5	4.6		TURKEY	TURKEY:  KAGIZMAN	39.984	42.875	140						
1991	6	20	5	18	52.5	31	7.5	7	6.2	6	INDONESIA	"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO"	1.196	122.787	170						1500
1991	6	28	14	43	54.5	11	5.1	5.1	5.8	7	USA	"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES"	34.262	-118.002	150	2		104	33.5		
1991	7	4	11	43	10.4	29	6.5	6.5	6.2		INDONESIA	"INDONESIA:  TIMOR:  KALABAHI, DILI"	-8.099	124.681	170	28		181	7.7	1150	
1991	7	12	10	42	21.2	11	5.6	5.7	5.3	8	ROMANIA	"ROMANIA:  BANLOC, DETA, TIMISOARA"	45.364	21.057	110	2		30			
1991	7	18	11	56	30.6	12	5.6	5.5	5.7	8	ROMANIA	ROMANIA:  ORSAVA	44.888	22.407	110						615
1991	7	23	19	44	50.2	5	4.7	4.7	5	5	PERU	"PERU:  MACA, CHIVAY, YANQUE"	-15.679	-71.574	160	92		30			
1991	7	24	9	45	41.8	26	5.1	5.1	5.4	8	IRAQ	"IRAQ:  ARBIL,  DIBS"	36.52	44.066	140	20				100	100
1991	8	9	9	33	49.6	5	4.7	4.7	4.7		COSTA RICA	COSTA RICA:  CARTAGO	9.737	-84.054	100						30
1991	8	17	6	18	34	10	5.2	5.2	5.5	5	VENEZUELA	VENEZUELA:  BARQUISIMETO	10.045	-69.948	160						100
1991	8	17	19	29	40	12	6.2	6.2	6	7	USA	"CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA"	40.235	-124.348	150						
1991	9	8	13	50	30.8	88	5.6		5.6		NEW ZEALAND	"NEW ZEALAND:  WELLINGTON, WANGANUI"	-40.25	175.053	170						
1991	9	18	9	48	13.1	5	6.2	6.2	5.7	6	GUATEMALA	"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA"	14.646	-90.986	100	25		200			
1991	10	19	21	23	14.3	10	7	7	6.5	8	INDIA	"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH"	30.78	78.774	60	2000		1800	60	7500	7500
1991	11	4	1	50	31.6	39	5.4	5.4	5.4		IRAN	IRAN:  BEHBAHAN	30.666	50.218	140			51		290	
1991	11	8	15	13	44.1	22	5	5	5.6		INDIA	"INDIA:  JODHPUR, JAISALMER"	26.323	70.607	60						
1991	11	19	22	28	51	21	6.4	6.4	6.4	6	COLOMBIA	"COLOMBIA:  CHACO, BUENAVENTURA, CALI"	4.554	-77.442	160	2					28
1991	11	22	0	40	23.9	10	4.7		4.7		YEMEN	YEMEN:  WESTERN  ARABIAN PENINSULA	13.887	44.068	60	11		40		17	87
1991	11	28	17	19	55.5	16	5	5	5.6		IRAN	"IRAN:  RUDBAR, RASHT"	36.924	49.603	140	1		70			
1991	12	2	8	49	40.2	9	5.5	5.6	5.2	8	ROMANIA	"ROMANIA:  VOITEG, DETA, BANLOC"	45.498	21.115	110						5000
1992	2	4	1	58	39.7	58	4.4	4.4	5		INDONESIA	"INDONESIA:  JAWA, BREBES"	-7.138	109.067	170			1		800	700
1992	3	4	11	57	53	18	4.6	4.6	4.9		IRAN	IRAN:  LORDEGAN ARDAL AREA	31.726	50.778	140	6		50		300	
1992	3	13	17	18	39.9	27	6.9	6.9	6.2	8	TURKEY	TURKEY:  ERZINCAN	39.71	39.605	140	653		2000	750		8057
1992	4	13	1	20	0.8	21	5.2	5.2	5.5	8	NETHERLANDS	"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG"	51.153	5.798	120	1		45	100		
1992	4	23	4	50	23.2	12	6.3	6.3	5.7	7	USA	"CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS"	33.961	-116.318	150			32			
1992	4	25	18	6	4.2	15	7.1	7.1	6.3	8	USA	"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA"	40.368	-124.316	150			98	75		
1992	5	15	8	8	2.9	50	6.2	6.2	5.7	7	KYRGYZSTAN	KYRGYZSTAN:  OSH; UZBEKISTAN:  ANDIZHAN	41.019	72.429	40	4			31	5500	4000
1992	5	17	10	15	31.3	33	7.5	7.5	6.4		PHILIPPINES	"PHILIPPINES:  MINDANAO, TANDAG, BISLIG"	7.191	126.762	170						
1992	5	20	12	20	32.8	16	6	6	6		PAKISTAN	"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL"	33.377	71.317	60	36		100		400	
1992	5	25	16	55	4.1	23	7	7	6.3		CUBA	"CUBA:  PILON, MANZANILLO"	19.613	-77.872	90			40			820
